,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Busselton,AU,-33.65,115.3333,76.05,48,6,8.3,clear sky
107,Souillac,MU,-20.5167,57.5167,81.36,86,100,25.59,overcast clouds
108,San Vicente,AR,-26.6167,-54.1333,72.09,60,100,1.3,overcast clouds
109,Bluff,NZ,-46.6,168.3333,74.8,61,1,10.31,clear sky
110,Hobart,AU,-42.8794,147.3294,62.46,47,75,19.57,broken clouds
111,Kaitangata,NZ,-46.2817,169.8464,68.41,61,6,10.33,clear sky
112,Badvel,IN,14.75,79.05,72.68,57,100,3.44,overcast clouds
113,Nioro,GM,13.35,-15.75,76.69,26,1,7.99,clear sky
114,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.06,87,72,2.28,broken clouds
115,Las Cruces,US,32.3123,-106.7783,65.48,15,0,6.91,clear sky
116,Victoria,HK,22.2855,114.1577,47.32,93,100,1.99,light rain
117,Mazatlan,MX,23.2167,-106.4167,69.46,68,78,7.92,broken clouds
118,Aneho,TG,6.2333,1.6,79.84,84,66,9.08,broken clouds
119,Pacifica,US,37.6138,-122.4869,56.61,81,75,26.46,mist
120,Abu Kamal,SY,34.4506,40.9171,51.55,68,40,13.38,scattered clouds
121,Grand-Santi,GF,4.25,-54.3833,71.89,99,100,2.1,overcast clouds
122,Tuktoyaktuk,CA,69.4541,-133.0374,-28.79,100,14,4.88,few clouds
123,Butaritari,KI,3.0707,172.7902,81.59,79,93,19.15,light rain
124,Katsuura,JP,35.1333,140.3,42.84,40,11,10.45,few clouds
125,Khatanga,RU,71.9667,102.5,19.78,94,100,14.43,light snow
126,Khakhea,BW,-24.6895,23.494,73.44,52,82,5.06,broken clouds
127,Te Anau,NZ,-45.4167,167.7167,72.43,32,64,7.63,broken clouds
128,Copiapo,CL,-27.3667,-70.3333,69.13,61,0,2.13,clear sky
129,Norman Wells,CA,65.282,-126.8329,-22.07,98,7,5.01,clear sky
130,Yellowknife,CA,62.456,-114.3525,-19.44,69,75,3.44,light snow
131,Saint George,US,37.1041,-113.5841,61.95,18,100,1.01,overcast clouds
132,Keti Bandar,PK,24.1447,67.4497,72.5,78,0,15.1,clear sky
