City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Jertih,MY,80.17,scattered clouds,5.7336,102.4897,One Utama Hotel
416,Santarem,BR,78.01,light rain,-2.4431,-54.7083,Hotel Imperador
423,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
427,Tucupita,VE,73.53,clear sky,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
432,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
437,Pak Phanang,TH,81.84,few clouds,8.3511,100.202,Green Park Inn Hotel
439,Sao Filipe,CV,70.95,overcast clouds,14.8961,-24.4956,Hotel Xaguate
441,Piopio,NZ,78.96,clear sky,-38.4667,175.0167,Owls Nest Motel
448,Axim,GH,79.11,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
449,Sao Joao Da Barra,BR,76.41,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
458,Almeirim,BR,76.73,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
459,Narayanpet,IN,72.97,overcast clouds,16.7333,77.5,Ashok Nagar
466,Corn Island,NI,80.2,overcast clouds,12.1694,-83.0418,Big Fish Guest House
469,Atambua,ID,80.92,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
470,Batemans Bay,AU,88.99,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
473,Road Town,VG,77.04,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
474,Kulhudhuffushi,MV,81.5,broken clouds,6.6221,73.07,Haajy Guest House 1
476,Faanui,PF,81.39,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
477,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
479,Sambava,MG,74.64,overcast clouds,-14.2667,50.1667,Melrose
487,Pedernales,DO,76.48,few clouds,18.0384,-71.744,Hotel Costa Marina
488,Ternate,ID,79.52,light rain,0.8,127.4,Sahid Bela Ternate Hotel
489,Pocone,BR,73.44,few clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
490,Tabou,CI,77.56,overcast clouds,4.423,-7.3528,hotêl doufoulougou
494,Ilo,PE,71.08,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
495,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
496,Moerai,PF,81.1,clear sky,-22.4333,-151.3333,Le Manotel
501,Weligama,LK,77.83,clear sky,5.9667,80.4167,Weligama Bay Resort
503,Banda Aceh,ID,81.54,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
506,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
507,Ampanihy,MG,71.74,clear sky,-24.7,44.75,Angora Hotel
509,Sorong,ID,77.05,light rain,-0.8833,131.25,Waigo Splash Hotel
511,Kainantu,PG,75.0,broken clouds,-6.2887,145.8655,Sylvester buku
512,Sibolga,ID,82.54,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
515,Daru,PG,80.35,overcast clouds,-9.0763,143.2092,Daru Lodge
517,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
526,Itamaraju,BR,72.3,overcast clouds,-17.0392,-39.5311,Hotel Vista Bela
527,Capanema,BR,73.44,overcast clouds,-1.1958,-47.1808,Hotel Legal
532,Rio Grande City,US,71.89,few clouds,26.3798,-98.8203,La Borde House
533,Jaguarao,BR,72.28,overcast clouds,-32.5661,-53.3758,Hotel Rio's
534,Muisne,EC,76.73,light rain,0.6,-80.0333,Quinta Samay
540,Namatanai,PG,86.61,light rain,-3.6667,152.4333,Seagulls Inn Namatani
541,Mogadishu,SO,76.64,overcast clouds,2.0371,45.3438,Hotel Juba
542,New Amsterdam,GY,74.62,few clouds,6.25,-57.5167,Little Rock Suites
544,Gurupa,BR,74.28,overcast clouds,-1.405,-51.64,Hotel Vitória
545,Beba,CU,71.87,clear sky,22.4437,-79.7253,Hostal Cubaustria
548,Poso,ID,79.52,heavy intensity rain,-1.3959,120.7524,Hotel 77 Poso
549,Kualakapuas,ID,78.96,moderate rain,-3.0091,114.3876,Guest House Izonk
554,Larap,PH,78.85,broken clouds,14.299,122.6504,Montemayor Cove
557,Agogo,GH,72.84,overcast clouds,6.8,-1.0819,"Ebenezer Hostel, Agogo"
567,Mackay,AU,87.67,light rain,-21.15,149.2,International Lodge Motel
569,Sunbury,AU,70.45,broken clouds,-37.5833,144.7333,Sunbury Motor Inn
572,Paita,PE,72.0,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
577,Nioaque,BR,79.29,few clouds,-21.1353,-55.83,Nioaque Novo Hotel
581,Ambilobe,MG,74.39,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
583,Ipojuca,BR,82.31,few clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
586,Riohacha,CO,76.48,clear sky,11.5444,-72.9072,Hotel Taroa
587,Ciudad Guayana,VE,80.53,overcast clouds,8.3533,-62.6528,Hotel Las Americas
588,Gorontalo,ID,75.88,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
592,Honiara,SB,85.42,broken clouds,-9.4333,159.95,Heritage Park Hotel
593,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
594,Karaton,ID,82.89,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
596,Bendigo,AU,76.86,clear sky,-36.7667,144.2833,The Hotel Shamrock
597,Praia,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
602,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
606,Cantanhede,BR,73.04,overcast clouds,-3.6333,-44.3767,HOTEL FE EM DEUS
607,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
609,Bangkalan,ID,84.15,overcast clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
610,Grand-Lahou,CI,78.6,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
611,Libacao,PH,84.96,overcast clouds,10.1825,122.9158,CHUA-TALEON OLD RESIDENCE (WAYSIDE VARIETY STORE)
614,Sola,VU,82.67,scattered clouds,-13.8833,167.55,Leumerus Bungalows
617,Broken Hill,AU,74.75,few clouds,-31.95,141.4333,Royal Exchange Hotel
627,Beira,MZ,75.61,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
633,Upata,VE,77.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
637,Dagua,CO,70.3,broken clouds,3.6569,-76.6886,Hostal Río Dagua
639,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
641,Agnibilekrou,CI,72.09,scattered clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
645,Samarai,PG,86.54,overcast clouds,-10.6167,150.6667,Nuli Sapi
650,Les Cayes,HT,74.01,scattered clouds,18.2,-73.75,Villa Orphee
651,Pathein,MM,77.85,broken clouds,16.7833,94.7333,Pathein Hotel
656,Miramar,US,74.01,few clouds,25.9873,-80.2323,Stadium Hotel
658,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
659,Santa Rita,BR,79.47,few clouds,-7.1139,-34.9781,Infinity Motel
